日期,year,month,yearweek,yearday,week,weekend,workday,holiday_type,is_legal_workday,是否节假日,holiday_recess,holiday_name,节假日类型
2025-02-13,2025,2,6,44,3,0,0,,1,0,0,,普通日
2025-02-14,2025,2,6,45,4,0,0,,1,0,0,,普通日
2025-02-15,2025,2,6,46,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-02-16,2025,2,7,47,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-02-17,2025,2,7,48,0,0,0,,1,0,0,,普通日
2025-02-18,2025,2,7,49,1,0,0,,1,0,0,,普通日
2025-02-19,2025,2,7,50,2,0,0,,1,0,0,,普通日
2025-02-20,2025,2,7,51,3,0,0,,1,0,0,,普通日
2025-02-21,2025,2,7,52,4,0,0,,1,0,0,,普通日
2025-02-22,2025,2,7,53,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-02-23,2025,2,8,54,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-02-24,2025,2,8,55,0,0,0,,1,0,0,,普通日
2025-02-25,2025,2,8,56,1,0,0,,1,0,0,,普通日
2025-02-26,2025,2,8,57,2,0,0,,1,0,0,,普通日
2025-02-27,2025,2,8,58,3,0,0,,1,0,0,,普通日
2025-02-28,2025,2,8,59,4,0,0,,1,0,0,,普通日
2025-03-01,2025,3,8,60,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-03-02,2025,3,9,61,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-03-03,2025,3,9,62,0,0,0,,1,0,0,,普通日
2025-03-04,2025,3,9,63,1,0,0,,1,0,0,,普通日
2025-03-05,2025,3,9,64,2,0,0,,1,0,0,,普通日
2025-03-06,2025,3,9,65,3,0,0,,1,0,0,,普通日
2025-03-07,2025,3,9,66,4,0,0,,1,0,0,,普通日
2025-03-08,2025,3,9,67,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-03-09,2025,3,10,68,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-03-10,2025,3,10,69,0,0,0,,1,0,0,,普通日
2025-03-11,2025,3,10,70,1,0,0,,1,0,0,,普通日
2025-03-12,2025,3,10,71,2,0,0,,1,0,0,,普通日
2025-03-13,2025,3,10,72,3,0,0,,1,0,0,,普通日
2025-03-14,2025,3,10,73,4,0,0,,1,0,0,,普通日
2025-03-15,2025,3,10,74,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-03-16,2025,3,11,75,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-03-17,2025,3,11,76,0,0,0,,1,0,0,,普通日
2025-03-18,2025,3,11,77,1,0,0,,1,0,0,,普通日
2025-03-19,2025,3,11,78,2,0,0,,1,0,0,,普通日
2025-03-20,2025,3,11,79,3,0,0,,1,0,0,,普通日
2025-03-21,2025,3,11,80,4,0,0,,1,0,0,,普通日
2025-03-22,2025,3,11,81,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-03-23,2025,3,12,82,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-03-24,2025,3,12,83,0,0,0,,1,0,0,,普通日
2025-03-25,2025,3,12,84,1,0,0,,1,0,0,,普通日
2025-03-26,2025,3,12,85,2,0,0,,1,0,0,,普通日
2025-03-27,2025,3,12,86,3,0,0,,1,0,0,,普通日
2025-03-28,2025,3,12,87,4,0,0,,1,0,0,,普通日
2025-03-29,2025,3,12,88,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-03-30,2025,3,13,89,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-03-31,2025,3,13,90,0,0,0,,1,0,0,,普通日
2025-04-01,2025,4,13,91,1,0,0,,1,0,0,,普通日
2025-04-02,2025,4,13,92,2,0,0,,1,0,0,,普通日
2025-04-03,2025,4,13,93,3,0,0,,1,0,0,,普通日
2025-04-04,2025,4,13,94,4,0,1,,1,1,1,Tomb-sweeping Day,法定节假日
2025-04-05,2025,4,13,95,5,1,1,,1,1,1,Tomb-sweeping Day,法定节假日
2025-04-06,2025,4,14,96,6,1,1,,1,1,1,Tomb-sweeping Day,法定节假日
2025-04-07,2025,4,14,97,0,0,0,,1,0,0,,普通日
2025-04-08,2025,4,14,98,1,0,0,,1,0,0,,普通日
2025-04-09,2025,4,14,99,2,0,0,,1,0,0,,普通日
2025-04-10,2025,4,14,100,3,0,0,,1,0,0,,普通日
2025-04-11,2025,4,14,101,4,0,0,,1,0,0,,普通日
2025-04-12,2025,4,14,102,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-04-13,2025,4,15,103,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-04-14,2025,4,15,104,0,0,0,,1,0,0,,普通日
2025-04-15,2025,4,15,105,1,0,0,,1,0,0,,普通日
2025-04-16,2025,4,15,106,2,0,0,,1,0,0,,普通日
2025-04-17,2025,4,15,107,3,0,0,,1,0,0,,普通日
2025-04-18,2025,4,15,108,4,0,0,,1,0,0,,普通日
2025-04-19,2025,4,15,109,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-04-20,2025,4,16,110,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-04-21,2025,4,16,111,0,0,0,,1,0,0,,普通日
2025-04-22,2025,4,16,112,1,0,0,,1,0,0,,普通日
2025-04-23,2025,4,16,113,2,0,0,,1,0,0,,普通日
2025-04-24,2025,4,16,114,3,0,0,,1,0,0,,普通日
2025-04-25,2025,4,16,115,4,0,0,,1,0,0,,普通日
2025-04-26,2025,4,16,116,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-04-27,2025,4,17,117,6,1,0,,1,0,1,Labour Day,普通日
2025-04-28,2025,4,17,118,0,0,0,,1,0,0,,普通日
2025-04-29,2025,4,17,119,1,0,0,,1,0,0,,普通日
2025-04-30,2025,4,17,120,2,0,0,,1,0,0,,普通日
2025-05-01,2025,5,17,121,3,0,1,,1,1,1,Labour Day,法定节假日
2025-05-02,2025,5,17,122,4,0,1,,1,1,1,Labour Day,法定节假日
2025-05-03,2025,5,17,123,5,1,1,,1,1,1,Labour Day,法定节假日
2025-05-04,2025,5,18,124,6,1,1,,1,1,1,Labour Day,法定节假日
2025-05-05,2025,5,18,125,0,0,1,,1,1,1,Labour Day,法定节假日
2025-05-06,2025,5,18,126,1,0,0,,1,0,0,,普通日
2025-05-07,2025,5,18,127,2,0,0,,1,0,0,,普通日
2025-05-08,2025,5,18,128,3,0,0,,1,0,0,,普通日
2025-05-09,2025,5,18,129,4,0,0,,1,0,0,,普通日
2025-05-10,2025,5,18,130,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-05-11,2025,5,19,131,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-05-12,2025,5,19,132,0,0,0,,1,0,0,,普通日
2025-05-13,2025,5,19,133,1,0,0,,1,0,0,,普通日
2025-05-14,2025,5,19,134,2,0,0,,1,0,0,,普通日
2025-05-15,2025,5,19,135,3,0,0,,1,0,0,,普通日
2025-05-16,2025,5,19,136,4,0,0,,1,0,0,,普通日
2025-05-17,2025,5,19,137,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-05-18,2025,5,20,138,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-05-19,2025,5,20,139,0,0,0,,1,0,0,,普通日
2025-05-20,2025,5,20,140,1,0,0,,1,0,0,,普通日
2025-05-21,2025,5,20,141,2,0,0,,1,0,0,,普通日
2025-05-22,2025,5,20,142,3,0,0,,1,0,0,,普通日
2025-05-23,2025,5,20,143,4,0,0,,1,0,0,,普通日
2025-05-24,2025,5,20,144,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-05-25,2025,5,21,145,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-05-26,2025,5,21,146,0,0,0,,1,0,0,,普通日
2025-05-27,2025,5,21,147,1,0,0,,1,0,0,,普通日
2025-05-28,2025,5,21,148,2,0,0,,1,0,0,,普通日
2025-05-29,2025,5,21,149,3,0,0,,1,0,0,,普通日
2025-05-30,2025,5,21,150,4,0,0,,1,0,0,,普通日
2025-05-31,2025,5,21,151,5,1,1,,1,1,1,Dragon Boat Festival,法定节假日
2025-06-01,2025,6,22,152,6,1,1,,1,1,1,Dragon Boat Festival,法定节假日
2025-06-02,2025,6,22,153,0,0,1,,1,1,1,Dragon Boat Festival,法定节假日
2025-06-03,2025,6,22,154,1,0,0,,1,0,0,,普通日
2025-06-04,2025,6,22,155,2,0,0,,1,0,0,,普通日
2025-06-05,2025,6,22,156,3,0,0,,1,0,0,,普通日
2025-06-06,2025,6,22,157,4,0,0,,1,0,0,,普通日
2025-06-07,2025,6,22,158,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-06-08,2025,6,23,159,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-06-09,2025,6,23,160,0,0,0,,1,0,0,,普通日
2025-06-10,2025,6,23,161,1,0,0,,1,0,0,,普通日
2025-06-11,2025,6,23,162,2,0,0,,1,0,0,,普通日
2025-06-12,2025,6,23,163,3,0,0,,1,0,0,,普通日
2025-06-13,2025,6,23,164,4,0,0,,1,0,0,,普通日
2025-06-14,2025,6,23,165,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-06-15,2025,6,24,166,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-06-16,2025,6,24,167,0,0,0,,1,0,0,,普通日
2025-06-17,2025,6,24,168,1,0,0,,1,0,0,,普通日
2025-06-18,2025,6,24,169,2,0,0,,1,0,0,,普通日
2025-06-19,2025,6,24,170,3,0,0,,1,0,0,,普通日
2025-06-20,2025,6,24,171,4,0,0,,1,0,0,,普通日
