商品编码,日期,商品名称,销售数量,销售金额,销售净额,折扣金额,售价,是否促销,平均售价,实际折扣率
4701098,2025-02-25,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-02-26,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-02-27,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-02-28,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-01,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-03-02,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-03-03,福荫韧豆腐380g,4.0,19.96,17.663716816,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-04,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-05,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-06,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-07,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-08,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-09,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-03-10,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-11,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-12,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-03-13,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-03-14,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-15,福荫韧豆腐380g,4.0,19.96,17.663716816,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-16,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-03-17,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-03-18,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-03-19,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-20,福荫韧豆腐380g,1.0,4.99,3.884955752,0.6,5.99,1.0,4.390000000000001,0.8797595190380761
4701098,2025-03-21,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-22,福荫韧豆腐380g,3.0,14.97,13.247787611,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-23,福荫韧豆腐380g,5.0,24.950000000000003,22.079646020000002,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-24,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-25,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-26,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-03-27,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-03-28,福荫韧豆腐380g,2.0,9.98,8.831858407,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-29,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
